variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Water Withdrawal|Heat|Biomass,"Water Withdrawal|Heat|Biomass represents biomass within the broader context of water withdrawal > heat > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, heat, water, water withdrawal, withdrawal",Energy,0.9,Water withdrawal for biomass energy production is primarily related to energy production.,,Generation,,,
Water Withdrawal|Heat|Coal,"Water Withdrawal|Heat|Coal represents coal within the broader context of water withdrawal > heat > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, heat, water, water withdrawal, withdrawal",Energy,0.9,Water withdrawal for coal power generation is a major source of water usage in the energy sector.,,Generation,,,
Water Withdrawal|Heat|Gas,"Water Withdrawal|Heat|Gas represents gas within the broader context of water withdrawal > heat > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gas, heat, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for natural gas production is related to the extraction and processing of gas resources.,,Generation,,,
Water Withdrawal|Heat|Geothermal,"Water Withdrawal|Heat|Geothermal represents geothermal within the broader context of water withdrawal > heat > geothermal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: geothermal, heat, water, water withdrawal, withdrawal",Energy,0.8,Water usage in geothermal power generation is primarily for cooling and other operational purposes.,,Generation,,,
Water Withdrawal|Heat|Oil,"Water Withdrawal|Heat|Oil represents oil within the broader context of water withdrawal > heat > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: heat, oil, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for oil production is a crucial component in extracting liquid hydrocarbons from the ground.,,Oil and Gas Production,,,
Water Withdrawal|Heat|Other,"Water Withdrawal|Heat|Other represents other within the broader context of water withdrawal > heat > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: heat, other, water, water withdrawal, withdrawal",Energy,0.6,Other heat sources include various industrial processes and thermal energy systems.,,Generation,,,
Water Withdrawal|Hydrogen,"Water Withdrawal|Hydrogen represents hydrogen within the broader context of water withdrawal > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: hydrogen, water, water withdrawal, withdrawal",Energy,0.9,Water withdrawal for hydrogen production is related to various methods such as steam methane reforming.,,Generation,,,
Water Withdrawal|Hydrogen|Biomass,"Water Withdrawal|Hydrogen|Biomass represents biomass within the broader context of water withdrawal > hydrogen > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, hydrogen, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for biomass hydrogen production is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Hydrogen|Biomass|w/ CCS,"Water Withdrawal|Hydrogen|Biomass|w/ CCS represents w/ ccs within the broader context of water withdrawal > hydrogen > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, hydrogen, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for biomass hydrogen production with CCS is highly dependent on the specific biomass feedstock.,,Generation,,,
Water Withdrawal|Hydrogen|Biomass|w/o CCS,"Water Withdrawal|Hydrogen|Biomass|w/o CCS represents w/o ccs within the broader context of water withdrawal > hydrogen > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, hydrogen, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for biomass hydrogen production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Hydrogen|Coal,"Water Withdrawal|Hydrogen|Coal represents coal within the broader context of water withdrawal > hydrogen > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, hydrogen, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for coal hydrogen production is related to various methods such as coal gasification.,,Generation,,,
Water Withdrawal|Hydrogen|Coal|w/ CCS,"Water Withdrawal|Hydrogen|Coal|w/ CCS represents w/ ccs within the broader context of water withdrawal > hydrogen > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, hydrogen, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for coal hydrogen production with CCS is highly dependent on the specific coal feedstock.,,Generation,,,
Water Withdrawal|Hydrogen|Coal|w/o CCS,"Water Withdrawal|Hydrogen|Coal|w/o CCS represents w/o ccs within the broader context of water withdrawal > hydrogen > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, hydrogen, o, w, w/o ccs, water, water withdrawal, withdrawal",Error,,Missing from batch response,,,,,
Water Withdrawal|Hydrogen|Electricity,"Water Withdrawal|Hydrogen|Electricity represents electricity within the broader context of water withdrawal > hydrogen > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, hydrogen, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for electricity generation is primarily for cooling purposes.,,Generation,,,
Water Withdrawal|Hydrogen|Fossil,"Water Withdrawal|Hydrogen|Fossil represents fossil within the broader context of water withdrawal > hydrogen > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: fossil, hydrogen, water, water withdrawal, withdrawal",Energy,0.5,Water withdrawal for fossil hydrogen production is related to various methods such as steam methane reforming.,,Generation,,,
Water Withdrawal|Hydrogen|Fossil|w/ CCS,"Water Withdrawal|Hydrogen|Fossil|w/ CCS represents w/ ccs within the broader context of water withdrawal > hydrogen > fossil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, fossil, hydrogen, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.5,Water withdrawal for fossil hydrogen production with CCS is highly dependent on the specific fossil feedstock.,,Generation,,,
Water Withdrawal|Hydrogen|Fossil|w/o CCS,"Water Withdrawal|Hydrogen|Fossil|w/o CCS represents w/o ccs within the broader context of water withdrawal > hydrogen > fossil > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, fossil, hydrogen, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.4,Water withdrawal for fossil hydrogen production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Hydrogen|Gas,"Water Withdrawal|Hydrogen|Gas represents gas within the broader context of water withdrawal > hydrogen > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gas, hydrogen, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for natural gas production is related to the extraction and processing of gas resources.,,Generation,,,
Water Withdrawal|Hydrogen|Gas|w/ CCS,"Water Withdrawal|Hydrogen|Gas|w/ CCS represents w/ ccs within the broader context of water withdrawal > hydrogen > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, gas, hydrogen, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for gas hydrogen production with CCS is highly dependent on the specific gas feedstock.,,Generation,,,
Water Withdrawal|Hydrogen|Gas|w/o CCS,"Water Withdrawal|Hydrogen|Gas|w/o CCS represents w/o ccs within the broader context of water withdrawal > hydrogen > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, gas, hydrogen, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for gas hydrogen production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Liquids,"Water Withdrawal|Liquids represents liquids within the broader context of water withdrawal > liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: liquids, water, water withdrawal, withdrawal",Water Management,0.9,Water withdrawal for liquids is primarily related to various industrial processes and municipal usage.,,,,,
Water Withdrawal|Liquids|Biomass,"Water Withdrawal|Liquids|Biomass represents biomass within the broader context of water withdrawal > liquids > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, liquids, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for biomass liquids production is related to various methods such as biomass gasification.,,Generation,,,
Water Withdrawal|Liquids|Biomass|w/ CCS,"Water Withdrawal|Liquids|Biomass|w/ CCS represents w/ ccs within the broader context of water withdrawal > liquids > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, liquids, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for biomass liquids production with CCS is highly dependent on the specific biomass feedstock.,,Generation,,,
Water Withdrawal|Liquids|Biomass|w/o CCS,"Water Withdrawal|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of water withdrawal > liquids > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, liquids, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for biomass liquids production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Liquids|Coal,"Water Withdrawal|Liquids|Coal represents coal within the broader context of water withdrawal > liquids > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, liquids, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for coal liquids production is related to various methods such as coal liquefaction.,,Generation,,,
Water Withdrawal|Liquids|Coal|w/ CCS,"Water Withdrawal|Liquids|Coal|w/ CCS represents w/ ccs within the broader context of water withdrawal > liquids > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, liquids, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for coal liquids production with CCS is highly dependent on the specific coal feedstock.,,Generation,,,
Water Withdrawal|Liquids|Coal|w/o CCS,"Water Withdrawal|Liquids|Coal|w/o CCS represents w/o ccs within the broader context of water withdrawal > liquids > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, liquids, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for coal liquids production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Liquids|Fossil,"Water Withdrawal|Liquids|Fossil represents fossil within the broader context of water withdrawal > liquids > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: fossil, liquids, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for fossil liquids production is related to various methods such as steam methane reforming.,,Generation,,,
Water Withdrawal|Liquids|Fossil|w/ CCS,"Water Withdrawal|Liquids|Fossil|w/ CCS represents w/ ccs within the broader context of water withdrawal > liquids > fossil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, fossil, liquids, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for fossil liquids production with CCS is highly dependent on the specific fossil feedstock.,,Generation,,,
Water Withdrawal|Liquids|Fossil|w/o CCS,"Water Withdrawal|Liquids|Fossil|w/o CCS represents w/o ccs within the broader context of water withdrawal > liquids > fossil > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, fossil, liquids, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for fossil liquids production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Liquids|Gas,"Water Withdrawal|Liquids|Gas represents gas within the broader context of water withdrawal > liquids > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gas, liquids, water, water withdrawal, withdrawal",Energy,0.8,Water withdrawal for natural gas production is related to the extraction and processing of gas resources.,,Generation,,,
Water Withdrawal|Liquids|Gas|w/ CCS,"Water Withdrawal|Liquids|Gas|w/ CCS represents w/ ccs within the broader context of water withdrawal > liquids > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, gas, liquids, w, w/ ccs, water, water withdrawal, withdrawal",Energy,0.7,Water withdrawal for gas liquids production with CCS is highly dependent on the specific gas feedstock.,,Generation,,,
Water Withdrawal|Liquids|Gas|w/o CCS,"Water Withdrawal|Liquids|Gas|w/o CCS represents w/o ccs within the broader context of water withdrawal > liquids > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, gas, liquids, o, w, w/o ccs, water, water withdrawal, withdrawal",Energy,0.6,Water withdrawal for gas liquids production without CCS is more complex and depends on the specific process.,,Generation,,,
Water Withdrawal|Liquids|Oil,"Water Withdrawal|Liquids|Oil represents oil within the broader context of water withdrawal > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: liquids, oil, water, water withdrawal, withdrawal",Oil and Gas,0.9,Water withdrawal for oil production is a crucial component in extracting liquid hydrocarbons from the ground.,,,,,
Final Energy|Industry|Liquids|Oil,"Final Energy|Industry|Liquids|Oil represents oil within the broader context of final energy > industry > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, industry, liquids, oil",Industry,0.8,Final energy for industry liquids oil is primarily used for various industrial processes.,Manufacturing,Chemicals,,,
Primary Energy|Non-Biomass Renewables|Ocean,"Primary Energy|Non-Biomass Renewables|Ocean represents ocean within the broader context of primary energy > non-biomass renewables > ocean in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, non, non-biomass renewables, ocean, primary, primary energy, renewables",Energy,0.9,Primary energy for non-biomass renewables ocean is primarily related to tidal and wave energy conversion.,,Generation,,,
Emissions|CO2|Energy|Demand|Industry|Cement,"Emissions|CO2|Energy|Demand|Industry|Cement represents cement within the broader context of emissions > co2 > energy > demand > industry > cement in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, cement, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, industry",Energy,0.9,Emissions for cement production are primarily CO2 from fuel combustion and process emissions.,Manufacturing,Cement,,,
Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,"Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia represents ammonia within the broader context of emissions > co2 > energy > demand > industry > chemicals > ammonia in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ammonia, carbon emissions, chemicals, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, industry",Energy,0.8,Emissions for ammonia production are primarily CO2 from fuel combustion and process emissions.,Manufacturing,Chemicals,,,
Emissions|CO2|Energy|Demand|Industry|Chemicals|High value chemicals,"Emissions|CO2|Energy|Demand|Industry|Chemicals|High value chemicals represents high value chemicals within the broader context of emissions > co2 > energy > demand > industry > chemicals > high value chemicals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, high, high value chemicals, industry, value",Energy,0.8,Emissions for high value chemicals production are primarily CO2 from fuel combustion and process emissions.,Manufacturing,Chemicals,,,
Emissions|CO2|Energy|Demand|Industry|Chemicals|Methanol,"Emissions|CO2|Energy|Demand|Industry|Chemicals|Methanol represents methanol within the broader context of emissions > co2 > energy > demand > industry > chemicals > methanol in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, industry, methanol",Energy,0.8,Emissions for methanol production are primarily CO2 from fuel combustion and process emissions.,Manufacturing,Chemicals,,,
Emissions|CO2|Energy|Demand|Industry|Chemicals|Other,"Emissions|CO2|Energy|Demand|Industry|Chemicals|Other represents other within the broader context of emissions > co2 > energy > demand > industry > chemicals > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, industry, other",Industry,0.9,Other chemicals within the chemicals sector.,Chemicals,Energy-intensive Industry,,,
Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals,"Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals represents non-ferrous metals within the broader context of emissions > co2 > energy > demand > industry > non-ferrous metals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ferrous, ghg emissions, industry, metals, non, non-ferrous metals",Industry,0.8,Non-ferrous metals within the industry sector.,Non-ferrous metals,Metals Production,,,
Emissions|CO2|Energy|Demand|Industry|Other,"Emissions|CO2|Energy|Demand|Industry|Other represents other within the broader context of emissions > co2 > energy > demand > industry > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, industry, other",Industry,0.5,"Other within the industry sector, which could be anything from manufacturing to construction.",Other,Unknown Industry,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Cooking,"Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Cooking represents cooking within the broader context of emissions > co2 > energy > demand > residential and commercial > commercial > heating > cooking in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, cooking, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heating, residential, residential and commercial",Buildings,0.85,"Cooking for commercial purposes, such as restaurants or offices.",Commercial,Commercial Cooking,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Space,"Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Space represents space within the broader context of emissions > co2 > energy > demand > residential and commercial > commercial > heating > space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heating, residential, residential and commercial, space",Buildings,0.8,"Heating for commercial spaces, such as offices or stores.",Commercial,Commercial Space Heating,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Water,"Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Water represents water within the broader context of emissions > co2 > energy > demand > residential and commercial > commercial > heating > water in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heating, residential, residential and commercial, water",Buildings,0.75,"Water heating for commercial purposes, such as laundries or medical facilities.",Commercial,Commercial Water Heating,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Cooking,"Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Cooking represents cooking within the broader context of emissions > co2 > energy > demand > residential and commercial > residential > heating > cooking in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, cooking, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heating, residential, residential and commercial",Buildings,0.9,"Cooking for residential purposes, such as households.",Residential,Residential Cooking,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Space,"Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Space represents space within the broader context of emissions > co2 > energy > demand > residential and commercial > residential > heating > space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heating, residential, residential and commercial, space",Buildings,0.85,"Heating for residential spaces, such as homes.",Residential,Residential Space Heating,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Water,"Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Water represents water within the broader context of emissions > co2 > energy > demand > residential and commercial > residential > heating > water in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heating, residential, residential and commercial, water",Buildings,0.8,"Water heating for residential purposes, such as households.",Residential,Residential Water Heating,,,
Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight,"Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight represents freight within the broader context of emissions > co2 > energy > demand > transportation > maritime > freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, freight, ghg emissions, maritime, mobility, transport, transportation, vehicle demand",Transportation,0.9,Freight transportation by sea.,Shipping,Maritime Freight,,,
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus,"Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus represents bus within the broader context of emissions > co2 > energy > demand > transportation > road > passenger > bus in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bus, carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, mobility, passenger, road, transport, transportation, vehicle demand",Transportation,0.85,Public transportation by bus.,Automotive,Bus Transportation,,,
Emissions|CO2|Industrial Processes|Chemicals,"Emissions|CO2|Industrial Processes|Chemicals represents chemicals within the broader context of emissions > co2 > industrial processes > chemicals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, emissions, ghg emissions, industrial, industrial processes, processes",Industry,0.9,Chemical processing within the industry sector.,Chemicals,Chemical Manufacturing,,,
Emissions|CO2|Industrial Processes|Chemicals|Ammonia,"Emissions|CO2|Industrial Processes|Chemicals|Ammonia represents ammonia within the broader context of emissions > co2 > industrial processes > chemicals > ammonia in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ammonia, carbon emissions, chemicals, co2, co2 output, emissions, ghg emissions, industrial, industrial processes, processes",Industry,0.85,Ammonia production within the chemical industry.,Chemicals,Ammonia Production,,,
Emissions|CO2|Industrial Processes|Chemicals|High value chemicals,"Emissions|CO2|Industrial Processes|Chemicals|High value chemicals represents high value chemicals within the broader context of emissions > co2 > industrial processes > chemicals > high value chemicals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, emissions, ghg emissions, high, high value chemicals, industrial, industrial processes, processes, value",Industry,0.8,High-value chemicals production within the chemicals industry.,Chemicals,High-Value Chemical Manufacturing,,,
Emissions|CO2|Industrial Processes|Chemicals|Methanol,"Emissions|CO2|Industrial Processes|Chemicals|Methanol represents methanol within the broader context of emissions > co2 > industrial processes > chemicals > methanol in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, emissions, ghg emissions, industrial, industrial processes, methanol, processes",Industry,0.9,Methanol production within the chemical industry.,Chemicals,Methanol Production,,,
Emissions|CO2|Industrial Processes|Chemicals|Other,"Emissions|CO2|Industrial Processes|Chemicals|Other represents other within the broader context of emissions > co2 > industrial processes > chemicals > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, chemicals, co2, co2 output, emissions, ghg emissions, industrial, industrial processes, other, processes",Industry,0.7,Other chemicals within the chemical industry.,Chemicals,Other Chemicals,,,
Emissions|CO2|Industrial Processes|Non-ferrous metals,"Emissions|CO2|Industrial Processes|Non-ferrous metals represents non-ferrous metals within the broader context of emissions > co2 > industrial processes > non-ferrous metals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, ferrous, ghg emissions, industrial, industrial processes, metals, non, non-ferrous metals, processes",Industry,0.8,Non-ferrous metals production within the industry sector.,Non-ferrous metals,Metals Production,,,
Emissions|CO2|Industrial Processes|Other,"Emissions|CO2|Industrial Processes|Other represents other within the broader context of emissions > co2 > industrial processes > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, ghg emissions, industrial, industrial processes, other, processes",Industry,0.6,"Other within the industry sector, which could be anything from manufacturing to construction.",Other,Unknown Industry,,,
Final Energy|Industry|Gases|Bioenergy,"Final Energy|Industry|Gases|Bioenergy represents bioenergy within the broader context of final energy > industry > gases > bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, gases, industry",Industry,0.8,Bioenergy production within the industry sector.,Manufacturing,Bioenergy Production,,,
Final Energy|Industry|Gases|Fossil,"Final Energy|Industry|Gases|Fossil represents fossil within the broader context of final energy > industry > gases > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, gases, industry",Industry,0.7,Fossil fuel production within the industry sector.,Manufacturing,Fossil Fuel Production,,,
Final Energy|Other Sector|Other,"Final Energy|Other Sector|Other represents other within the broader context of final energy > other sector > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, other, other sector, sector",Cross-sector,0.4,"Other within the cross-sector, which could be anything from agriculture to services.",Other,Unknown Sector,,,
Final Energy|Residential and Commercial|Commercial|Other,"Final Energy|Residential and Commercial|Commercial|Other represents other within the broader context of final energy > residential and commercial > commercial > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, other, residential, residential and commercial",Buildings,0.5,Energy use for commercial purposes.,Commercial,Commercial Energy Use,,,
