variable,description
Final Energy|Industry|Other|Liquids|Fossil,"Final Energy|Industry|Other|Liquids|Fossil represents fossil within the broader context of final energy → industry → other → liquids → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, liquids, other"
Final Energy|Industry|Other|Solids,"Final Energy|Industry|Other|Solids represents solids within the broader context of final energy → industry → other → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, industry, other, solids"
Final Energy|Industry|Other|Solids|Bioenergy,"Final Energy|Industry|Other|Solids|Bioenergy represents bioenergy within the broader context of final energy → industry → other → solids → bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, industry, other, solids"
Final Energy|Industry|Other|Solids|Fossil,"Final Energy|Industry|Other|Solids|Fossil represents fossil within the broader context of final energy → industry → other → solids → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, other, solids"
Final Energy|Industry|Pulp and Paper|Electricity,"Final Energy|Industry|Pulp and Paper|Electricity represents electricity within the broader context of final energy → industry → pulp and paper → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, electricity, energy, energy demand, energy sector, energy use, final, final energy, industry, paper, pulp, pulp and paper"
Final Energy|Industry|Pulp and Paper|Gases,"Final Energy|Industry|Pulp and Paper|Gases represents gases within the broader context of final energy → industry → pulp and paper → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, gases, industry, paper, pulp, pulp and paper"
Final Energy|Industry|Pulp and Paper|Heat,"Final Energy|Industry|Pulp and Paper|Heat represents heat within the broader context of final energy → industry → pulp and paper → heat in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, heat, industry, paper, pulp, pulp and paper"
Final Energy|Industry|Pulp and Paper|Hydrogen,"Final Energy|Industry|Pulp and Paper|Hydrogen represents hydrogen within the broader context of final energy → industry → pulp and paper → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, hydrogen, industry, paper, pulp, pulp and paper"
Final Energy|Industry|Pulp and Paper|Liquids,"Final Energy|Industry|Pulp and Paper|Liquids represents liquids within the broader context of final energy → industry → pulp and paper → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, industry, liquids, paper, pulp, pulp and paper"
Final Energy|Industry|Pulp and Paper|Liquids|Fossil,"Final Energy|Industry|Pulp and Paper|Liquids|Fossil represents fossil within the broader context of final energy → industry → pulp and paper → liquids → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, liquids, paper, pulp, pulp and paper"
Final Energy|Industry|Pulp and Paper|Solids,"Final Energy|Industry|Pulp and Paper|Solids represents solids within the broader context of final energy → industry → pulp and paper → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, industry, paper, pulp, pulp and paper, solids"
Final Energy|Industry|Pulp and Paper|Solids|Bioenergy,"Final Energy|Industry|Pulp and Paper|Solids|Bioenergy represents bioenergy within the broader context of final energy → industry → pulp and paper → solids → bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, bioenergy, energy, energy demand, energy sector, energy use, final, final energy, industry, paper, pulp, pulp and paper, solids"
Final Energy|Industry|Pulp and Paper|Solids|Fossil,"Final Energy|Industry|Pulp and Paper|Solids|Fossil represents fossil within the broader context of final energy → industry → pulp and paper → solids → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, paper, pulp, pulp and paper, solids"
Final Energy|Industry|Steel|Electricity,"Final Energy|Industry|Steel|Electricity represents electricity within the broader context of final energy → industry → steel → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, industry, steel"
Final Energy|Industry|Steel|Gases,"Final Energy|Industry|Steel|Gases represents gases within the broader context of final energy → industry → steel → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gases, industry, steel"
Final Energy|Industry|Steel|Heat,"Final Energy|Industry|Steel|Heat represents heat within the broader context of final energy → industry → steel → heat in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, heat, industry, steel"
Final Energy|Industry|Steel|Hydrogen,"Final Energy|Industry|Steel|Hydrogen represents hydrogen within the broader context of final energy → industry → steel → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, industry, steel"
Final Energy|Industry|Steel|Liquids,"Final Energy|Industry|Steel|Liquids represents liquids within the broader context of final energy → industry → steel → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, industry, liquids, steel"
Final Energy|Industry|Steel|Liquids|Fossil,"Final Energy|Industry|Steel|Liquids|Fossil represents fossil within the broader context of final energy → industry → steel → liquids → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, liquids, steel"
Final Energy|Industry|Steel|Solids,"Final Energy|Industry|Steel|Solids represents solids within the broader context of final energy → industry → steel → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, industry, solids, steel"
Final Energy|Industry|Steel|Solids|Bioenergy,"Final Energy|Industry|Steel|Solids|Bioenergy represents bioenergy within the broader context of final energy → industry → steel → solids → bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, industry, solids, steel"
Final Energy|Industry|Steel|Solids|Fossil,"Final Energy|Industry|Steel|Solids|Fossil represents fossil within the broader context of final energy → industry → steel → solids → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, solids, steel"
Final Energy|Residential and Commercial|Appliances,"Final Energy|Residential and Commercial|Appliances represents appliances within the broader context of final energy → residential and commercial → appliances in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, appliances, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Appliances,"Final Energy|Residential and Commercial|Commercial|Appliances represents appliances within the broader context of final energy → residential and commercial → commercial → appliances in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, appliances, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Heating,"Final Energy|Residential and Commercial|Commercial|Heating represents heating within the broader context of final energy → residential and commercial → commercial → heating in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Heating|Cooking,"Final Energy|Residential and Commercial|Commercial|Heating|Cooking represents cooking within the broader context of final energy → residential and commercial → commercial → heating → cooking in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooking, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Heating|Water,"Final Energy|Residential and Commercial|Commercial|Heating|Water represents water within the broader context of final energy → residential and commercial → commercial → heating → water in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, water"
Final Energy|Residential and Commercial|Commercial|Lighting,"Final Energy|Residential and Commercial|Commercial|Lighting represents lighting within the broader context of final energy → residential and commercial → commercial → lighting in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, lighting, residential, residential and commercial"
Final Energy|Residential and Commercial|Heating,"Final Energy|Residential and Commercial|Heating represents heating within the broader context of final energy → residential and commercial → heating in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial"
Final Energy|Residential and Commercial|Heating|Cooking,"Final Energy|Residential and Commercial|Heating|Cooking represents cooking within the broader context of final energy → residential and commercial → heating → cooking in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooking, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial"
Final Energy|Residential and Commercial|Heating|Water,"Final Energy|Residential and Commercial|Heating|Water represents water within the broader context of final energy → residential and commercial → heating → water in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, water"
Final Energy|Residential and Commercial|Lighting,"Final Energy|Residential and Commercial|Lighting represents lighting within the broader context of final energy → residential and commercial → lighting in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, lighting, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Appliances,"Final Energy|Residential and Commercial|Residential|Appliances represents appliances within the broader context of final energy → residential and commercial → residential → appliances in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, appliances, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Heating,"Final Energy|Residential and Commercial|Residential|Heating represents heating within the broader context of final energy → residential and commercial → residential → heating in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Heating|Cooking,"Final Energy|Residential and Commercial|Residential|Heating|Cooking represents cooking within the broader context of final energy → residential and commercial → residential → heating → cooking in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooking, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Heating|Water,"Final Energy|Residential and Commercial|Residential|Heating|Water represents water within the broader context of final energy → residential and commercial → residential → heating → water in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, water"
Final Energy|Residential and Commercial|Residential|Lighting,"Final Energy|Residential and Commercial|Residential|Lighting represents lighting within the broader context of final energy → residential and commercial → residential → lighting in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, lighting, residential, residential and commercial"
Final Energy|Transportation|Aviation|Freight,"Final Energy|Transportation|Aviation|Freight represents freight within the broader context of final energy → transportation → aviation → freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: aviation, energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Aviation|Passenger,"Final Energy|Transportation|Aviation|Passenger represents passenger within the broader context of final energy → transportation → aviation → passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: aviation, energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Gases|Fossil,"Final Energy|Transportation|Gases|Fossil represents fossil within the broader context of final energy → transportation → gases → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, gases, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger|Gases|Fossil,"Final Energy|Transportation|Passenger|Gases|Fossil represents fossil within the broader context of final energy → transportation → passenger → gases → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, gases, mobility, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Rail,"Final Energy|Transportation|Rail represents rail within the broader context of final energy → transportation → rail in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, rail, transport, transportation, vehicle demand"
Final Energy|Transportation|Rail|Freight,"Final Energy|Transportation|Rail|Freight represents freight within the broader context of final energy → transportation → rail → freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, rail, transport, transportation, vehicle demand"
Final Energy|Transportation|Rail|Passenger,"Final Energy|Transportation|Rail|Passenger represents passenger within the broader context of final energy → transportation → rail → passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, rail, transport, transportation, vehicle demand"
Final Energy|Transportation|Road|Passenger|Bus,"Final Energy|Transportation|Road|Passenger|Bus represents bus within the broader context of final energy → transportation → road → passenger → bus in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bus, energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, road, transport, transportation, vehicle demand"
Final Energy|Transportation|Road|Passenger|LDV,"Final Energy|Transportation|Road|Passenger|LDV represents ldv within the broader context of final energy → transportation → road → passenger → ldv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, ldv, mobility, passenger, road, transport, transportation, vehicle demand"
Investment|Energy Supply|Hydrogen|Electricity,"Investment|Energy Supply|Hydrogen|Electricity represents electricity within the broader context of investment → energy supply → hydrogen → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, hydrogen, investment, supply"
Material recycling|Chemicals,"Material recycling|Chemicals represents chemicals within the broader context of material recycling → chemicals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: chemicals, material, material recycling, recycling"
Material recycling|Plastics,"Material recycling|Plastics represents plastics within the broader context of material recycling → plastics in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: material, material recycling, plastics, recycling"
Population|Electricity Access,"Population|Electricity Access represents electricity access within the broader context of population → electricity access in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: access, demographics, electricity, electricity access, human population, population, population size"
Population|Relying on Solid Fuels,"Population|Relying on Solid Fuels represents relying on solid fuels within the broader context of population → relying on solid fuels in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demographics, fuels, human population, on, population, population size, relying, relying on solid fuels, solid"
Price|Agriculture|Livestock|Index,"Price|Agriculture|Livestock|Index represents index within the broader context of price → agriculture → livestock → index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, crop demand, food production, index, livestock, price"
Price|Agriculture|Rice|Index,"Price|Agriculture|Rice|Index represents index within the broader context of price → agriculture → rice → index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, crop demand, food production, index, price, rice"
Price|Final Energy|Transportation|Electricity,"Price|Final Energy|Transportation|Electricity represents electricity within the broader context of price → final energy → transportation → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, mobility, price, transport, transportation, vehicle demand"
Production|Chemicals,"Production|Chemicals represents chemicals within the broader context of production → chemicals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: chemicals, production"
Production|Pulp and Paper,"Production|Pulp and Paper represents pulp and paper within the broader context of production → pulp and paper in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, paper, production, pulp, pulp and paper"
Secondary Energy|Liquids|Biomass|Other,"Secondary Energy|Liquids|Biomass|Other represents other within the broader context of secondary energy → liquids → biomass → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, liquids, other, secondary, secondary energy"
Trade|Uranium|Mass,"Trade|Uranium|Mass represents mass within the broader context of trade → uranium → mass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: mass, trade, uranium"
Carbon Sequestration|Land Use|Other,"Carbon Sequestration|Land Use|Other represents other within the broader context of carbon sequestration → land use → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, land, land use, other, sequestration, use"
Emissions|CH4|AFOLU|Wetlands|Peatlands,"Emissions|CH4|AFOLU|Wetlands|Peatlands represents peatlands within the broader context of emissions → ch4 → afolu → wetlands → peatlands in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afolu, carbon emissions, ch4, co2 output, emissions, ghg emissions, peatlands, wetlands"
Emissions|CO2|AFOLU|Wetlands|Peatlands,"Emissions|CO2|AFOLU|Wetlands|Peatlands represents peatlands within the broader context of emissions → co2 → afolu → wetlands → peatlands in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afolu, carbon emissions, co2, co2 output, emissions, ghg emissions, peatlands, wetlands"
Emissions|N2O|AFOLU|Wetlands|Peatlands,"Emissions|N2O|AFOLU|Wetlands|Peatlands represents peatlands within the broader context of emissions → n2o → afolu → wetlands → peatlands in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afolu, carbon emissions, co2 output, emissions, ghg emissions, n2o, peatlands, wetlands"
Expenditure Share|Food,"Expenditure Share|Food represents food within the broader context of expenditure share → food in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: expenditure, expenditure share, food, share"
Fertilizer Use|Nitrogen|Biological Fixation,"Fertilizer Use|Nitrogen|Biological Fixation represents biological fixation within the broader context of fertilizer use → nitrogen → biological fixation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biological, biological fixation, fertilizer, fertilizer use, fixation, nitrogen, use"
Fertilizer Use|Nitrogen|Inorganic,"Fertilizer Use|Nitrogen|Inorganic represents inorganic within the broader context of fertilizer use → nitrogen → inorganic in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: fertilizer, fertilizer use, inorganic, nitrogen, use"
Fertilizer Use|Nitrogen|Organic,"Fertilizer Use|Nitrogen|Organic represents organic within the broader context of fertilizer use → nitrogen → organic in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: fertilizer, fertilizer use, nitrogen, organic, use"
Fertilizer Use|Nitrogen|Surplus,"Fertilizer Use|Nitrogen|Surplus represents surplus within the broader context of fertilizer use → nitrogen → surplus in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: fertilizer, fertilizer use, nitrogen, surplus, use"
Food Waste,"Food Waste represents food waste within the broader context of food waste in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: food, food waste, waste"
Food|Availability,"Food|Availability represents availability within the broader context of food → availability in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: availability, food"
Health|Consumption of alcohol,"Health|Consumption of alcohol represents consumption of alcohol within the broader context of health → consumption of alcohol in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: alcohol, consumption, consumption of alcohol, health, of"
Land Cover|Cropland|Energy Crops|2nd generation,"Land Cover|Cropland|Energy Crops|2nd generation represents 2nd generation within the broader context of land cover → cropland → energy crops → 2nd generation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: 2nd, 2nd generation, cover, cropland, crops, energy, energy crops, energy demand, energy sector, energy use, generation, land, land cover"
Land Cover|Forest|Secondary,"Land Cover|Forest|Secondary represents secondary within the broader context of land cover → forest → secondary in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, forest, land, land cover, secondary"
Land Cover|Forest|Share,"Land Cover|Forest|Share represents share within the broader context of land cover → forest → share in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, forest, land, land cover, share"
Land Cover|Water Ecosystems|Wetlands|Peatlands,"Land Cover|Water Ecosystems|Wetlands|Peatlands represents peatlands within the broader context of land cover → water ecosystems → wetlands → peatlands in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, ecosystems, land, land cover, peatlands, water, water ecosystems, wetlands"
Land Cover|Water Ecosystems|Wetlands|Peatlands|Drained,"Land Cover|Water Ecosystems|Wetlands|Peatlands|Drained represents drained within the broader context of land cover → water ecosystems → wetlands → peatlands → drained in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, drained, ecosystems, land, land cover, peatlands, water, water ecosystems, wetlands"
Land Cover|Water Ecosystems|Wetlands|Peatlands|Intact,"Land Cover|Water Ecosystems|Wetlands|Peatlands|Intact represents intact within the broader context of land cover → water ecosystems → wetlands → peatlands → intact in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, ecosystems, intact, land, land cover, peatlands, water, water ecosystems, wetlands"
Land Cover|Water Ecosystems|Wetlands|Peatlands|Rewetted,"Land Cover|Water Ecosystems|Wetlands|Peatlands|Rewetted represents rewetted within the broader context of land cover → water ecosystems → wetlands → peatlands → rewetted in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, ecosystems, land, land cover, peatlands, rewetted, water, water ecosystems, wetlands"
Material footprint,"Material footprint represents material footprint within the broader context of material footprint in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: footprint, material, material footprint"
Population|Prevalence of obesity,"Population|Prevalence of obesity represents prevalence of obesity within the broader context of population → prevalence of obesity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demographics, human population, obesity, of, population, population size, prevalence, prevalence of obesity"
Population|Prevalence of obesity|Children,"Population|Prevalence of obesity|Children represents children within the broader context of population → prevalence of obesity → children in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: children, demographics, human population, obesity, of, population, population size, prevalence, prevalence of obesity"
Population|Prevalence of overweight,"Population|Prevalence of overweight represents prevalence of overweight within the broader context of population → prevalence of overweight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demographics, human population, of, overweight, population, population size, prevalence, prevalence of overweight"
Population|Prevalence of overweight|Children,"Population|Prevalence of overweight|Children represents children within the broader context of population → prevalence of overweight → children in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: children, demographics, human population, of, overweight, population, population size, prevalence, prevalence of overweight"
Population|Prevalence of underweight,"Population|Prevalence of underweight represents prevalence of underweight within the broader context of population → prevalence of underweight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demographics, human population, of, population, population size, prevalence, prevalence of underweight, underweight"
Population|Prevalence of underweight|Children,"Population|Prevalence of underweight|Children represents children within the broader context of population → prevalence of underweight → children in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: children, demographics, human population, of, population, population size, prevalence, prevalence of underweight, underweight"
Terrestrial biodiversity,"Terrestrial biodiversity represents terrestrial biodiversity within the broader context of terrestrial biodiversity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biodiversity, terrestrial, terrestrial biodiversity"
Yield|Bioenergy|2nd generation,"Yield|Bioenergy|2nd generation represents 2nd generation within the broader context of yield → bioenergy → 2nd generation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: 2nd, 2nd generation, bioenergy, energy demand, energy sector, energy use, generation, yield"
Capacity|Gases|Biomass,"Capacity|Gases|Biomass represents biomass within the broader context of capacity → gases → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, gases"
Capacity|Gases|Biomass|w/o CCS,"Capacity|Gases|Biomass|w/o CCS represents w/o ccs within the broader context of capacity → gases → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, gases, o, w, w/o ccs"
Capacity|Gases|Coal,"Capacity|Gases|Coal represents coal within the broader context of capacity → gases → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, coal, gases"
